Word	Lemma	Part of Speech	Gloss
Widsið	Widsið	n.m.	Widsith (name, literally "far-traveler")
maðolade	maðolian	v.pret.3sg	spoke, delivered a speech
wordhord	wordhord	n.n	word-hoard, store of words
onleac	onlūcan	v.pret.3sg	unlocked, opened
se	sē	dem.pron.nom.m.sg	he, the one
þe	þe	rel.part	who, that
monna	mann	n.m.gen.pl	of men
mǣst	mǣst	adv.superl	most
mǣgþa	mǣgþ	n.f.gen.pl	of nations, tribes
ofer	ofer	prep	over, across
eorþan	eorþe	n.f.acc.sg	earth, world
folca	folc	n.n.gen.pl	of peoples
geondferde	geondfēran	v.pret.3sg	traversed, traveled through
oft	oft	adv	often
hē	hē	pers.pron.nom.m.sg	he
on	on	prep	in, at
flette	flett	n.n.dat.sg	hall, floor
geþah	geþicgan	v.pret.3sg	received
mynelīcne	mynelīc	adj.acc.m.sg	desirable, pleasing
maþþum	māððum	n.m.acc.sg	treasure, gift
Him	hē	pers.pron.dat.m.sg	to him
from	from	prep	from
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings (tribe name)
æþele	æþele	adj.nom.pl	noble ones
onwocon	onwacan	v.pret.pl	arose, were born
Hē	hē	pers.pron.nom.m.sg	he
mid	mid	prep	with
Ealhhilde	Ealhhild	n.f.dat.sg	Ealhhild (name)
fælre	fæle	adj.dat.f.sg	faithful, good
freoþuwebban	freoþuwebbe	n.f.dat.sg	peace-weaver (woman who makes peace through marriage)
forman	forma	adj.dat.m.sg	first
sīþe	sīþ	n.m.dat.sg	time, journey
Hreðcyninges	Hreðcyning	n.m.gen.sg	of the glory-king
ham	hām	n.m.acc.sg	home
gesōhte	gesēcan	v.pret.3sg	sought, visited
eastan	ēastan	adv	from the east
of	of	prep	from
Ongle	Ongel	n.m.dat.sg	Anglia
Eormanrīces	Eormanrīc	n.m.gen.sg	of Eormanric/Ermanaric
wraþes	wrāð	adj.gen.m.sg	angry, cruel
wærlogan	wǣrloga	n.m.gen.sg	oath-breaker, traitor
Ongon	onginnan	v.pret.3sg	began
þā	þā	adv	then
worn	worn	n.m.acc.sg	multitude, great number
sprecan	sprecan	v.inf	to speak
Fela	fela	adj.indecl	many
ic	ic	pers.pron.nom.1sg	I
monna	mann	n.m.gen.pl	of men
gefrægn	gefrīgnan	v.pret.1sg	have heard of
mǣgþum	mǣgþ	n.f.dat.pl	tribes, nations
wealdan	wealdan	v.inf	rule, control
Sceal	sculan	v.pres.3sg	shall, must
þeodna	þēoden	n.m.gen.pl	of lords, princes
gehwylc	gehwilc	pron	each, every
þeawum	þēaw	n.m.dat.pl	with customs, according to customs
lifgan	libban	v.inf	live
eorl	eorl	n.m.nom.sg	nobleman, warrior
æfter	æfter	prep	after
oþrum	ōðer	adj.dat.m.sg	another
eðle	ēðel	n.m.dat.sg	homeland, country
rædan	rǣdan	v.inf	rule, govern
se	sē	dem.pron.nom.m.sg	he, the one
þe	þe	rel.part	who, that
his	his	poss.pron.3sg	his
þeodenstol	þēodenstōl	n.m.acc.sg	throne
geþeon	geþēon	v.inf	prosper, flourish
wile	willan	v.pres.3sg	wishes, wants
Þāra	sē	dem.pron.gen.pl	of those
wæs	wesan	v.pret.3sg	was
Hwala	Hwala	n.m.nom.sg	Hwala (name)
hwile	hwīl	n.f.dat.sg	for a time
selast	sēlest	adj.superl.nom.m.sg	best, most excellent
ond	ond	conj	and
Alexandreas	Alexandreas	n.m.nom.sg	Alexander (the Great)
ealra	eall	adj.gen.pl	of all
ricost	rīce	adj.superl.nom.m.sg	most powerful
monna	mann	n.m.gen.pl	of men
cynnes	cynn	n.n.gen.sg	of kind, of race
ond	ond	conj	and
hē	hē	pers.pron.nom.m.sg	he
mǣst	mǣst	adv.superl	most
geþah	geþicgan	v.pret.3sg	received, achieved
þāra	sē	dem.pron.gen.pl	of those
þe	þe	rel.part	which, that
ic	ic	pers.pron.nom.1sg	I
ofer	ofer	prep	over
foldan	folde	n.f.acc.sg	earth, ground
gefrægen	gefrīgnan	v.p.part	heard of
hæbbe	habban	v.pres.1sg	have
Ætla	Ætla	n.m.nom.sg	Attila
weold	wealdan	v.pret.3sg	ruled
Hunum	Hūnas	n.m.dat.pl	the Huns
Eormanrīc	Eormanrīc	n.m.nom.sg	Eormanric/Ermanaric
Gotum	Gotan	n.m.dat.pl	the Goths
Becca	Becca	n.m.nom.sg	Becca (name)
Baningum	Baningas	n.m.dat.pl	the Banings
Burgendum	Burgende	n.m.dat.pl	the Burgundians
Gifica	Gifica	n.m.nom.sg	Gibicho (name)
Casere	casere	n.m.nom.sg	Caesar, emperor
weold	wealdan	v.pret.3sg	ruled
Creacum	Crēacas	n.m.dat.pl	the Greeks
ond	ond	conj	and
