Lemma	Form	POS	Line	Gloss
Widsið	Widsið	nsn	1	Widsith
maðolade,	maðelian	pret.sv	1	spoke
wordhord	wordhord	as	1	wordhoard/vocabulary
onleac,	onlūcan	pret.sv	1	unlocked
se	se	dpn	2	that
þe	þe	rpn	2	that
monna	monn	gpn	2	men
mǣst	mǣst	adj	2	most
mǣgþa	mǣgþ	gpn	2	people
ofer	ofer	prep	2	over
eorþan,	eorþe	asn	2	earth
folca	folc	gpn	3	tribe
geondferde;	geondferan	pret.sv	3	travel over
oft	oft	adv	3	often
hē	hē	nsppn	3	he
on	on	prep	3	in
flette	flett	dsn	3	great hall
geþah	geþicgan	pret.sv	3	received
mynelīcne	mynelīc	adj	4	handsome
māþþum.	māþþum	asn	4	treasure/gift
Him	hē	asn	4	him
from	from	prep	4	from
Myrgingum	Myrgingas	dpn	4	the Myrgings
æþele	æþelo	npn	5	noble
onwocon.	wæcnan	pret.pv	5	awoke
Hē	hē	nsppn	5	he
mid	mid	prep	5	with
Ealhhilde,	Ealhhilde	dsn	5	Ealhhilde
fælre	fæle	adj	6	gracious
freoþuwebban,	freoþuwebbe	dsn	6	peace-weaver
forman	forma	adj	6	first/foremost
sīþe	sīþ	isn	6	going/journey
Hreðcyninges	Hreðcyning	gsn	7	King of the Goths
ham	ham	asn	7	home
gesohte	gesecan	pret.sv	7	sought
eastan	eastan	adv	8	east
of	of	prep	8	from
Ongle,	Ongel	dpn	8	the Angles land
Eormanrīces,	Eormanrīc	gsn	8	Ermanric
wraþes	wraþ	adj	9	hostile
wærlogan.	wærloga	dpn	9	oath-breaker
Ongon	onginnan	pret.sv	9	began
þa	þa	adv	9	then
worn	worn	asn	9	a great number (of words)
sprecan:	sprecan	pret.pv	9	speaking
Fela	fela	adj	10	many
ic	ic	pn	10	I
monna	monn	gpn	10	men
gefrægn	gefrignan	pret.sv	10	learned (by asking)
mǣgþum	mǣgþ	ipn	10	tribe
wealdan!	wealdan	pret.sv	10	ruled
Sceal	sculan	pres.sv	11	Shall
þeodna	þeod	npn	11	men
gehwylc	gehwylc	adj	11	each
þeawum	þeaw	dpn	11	good custom
lifgan,	lifgan	v	11	live
eorl	eorl	gpn	12	leader
æfter	æfter	prep	12	after
oþrum	oþer	dpn	12	others
eðle	eþel	dsn	12	homeland
rædan,	rædan	v	12	govern
se	se	dem.pn	13	that
þe	þe	in	13	who
his	hē	gspn	13	his
þeodenstol	þeodenstol	n	13	king-stool
geþeon	geþeon	v	13	prosper
wile.	willan	pret.sv	13	will
Þāra	sē	gpn	14	that
wæs	wesan	psv	14	was
Hwala	Hwala	nsn	14	Hwala
hwile	hwil	asn	14	a while
selast,	sel	adj	14	best
ond	ond	conj	15	and
Alexandreas	Alexandreas	nsn	15	Alexander
ealra	eal	adj	15	all
ricost	rice	adj	15	powerful
monna	monn	gpn	16	men
cynnes,	cynn	gsn	16	kin
ond	ond	conj	16	and
hē	hē	nsppn	16	he
mǣst	mǣst	adj	16	most
geþah	geþeon	pret.sv	16	throve
þāra	sē	gpn	17	that
þe	þe	in	17	who
ic	ic	pn	17	I
ofer	ofer	prep	17	over
foldan	folde	asn	17	the earth
gefrægen	gefricgan	ppn	17	learned (by asking)
hæbbe.	habban	psv	17	have
Ætla	Ætla	apn	18	Atilla
weold	wealdan	psv	18	ruled
Hunum,	Hunas	ipn	18	the Huns
Eormanric	Eormanrīc	nsn	18	Ermanric
Gotum,	Gotan	ipn	18	the Goths
Becca	Becca	nsn	19	Becca
Baningum,	Baningas	dpn	19	the Baningas
Burgendum	Burgendan	dpn	19	the Burgundians
Gifica.	Gifica	nsn	19	Gifica
Casere	Casere	nsn	20	Caesar
weold	wealdan	psv	20	ruled
Creacum	Creacas	dpn	20	the Greeks
ond	ond	conj	20	and
Cælic	Cælic	nsn	20	Caelic
Finnum,	Finnas	dpn	20	the Finns
Hagena	Hagena	nsn	21	Hagen
Holmrygum	Holmrygas	dpn	21	the Rugians
ond	ond	conj	21	and
Heoden	Heoden	nsn	21	Heoden
Glommum.	Glomman	dpn	21	the Glomman
Witta	Witta	nsn	22	Witta
weold	wealdan	psv	22	ruled
Swæfum,	Swæfe	dpn	22	Swæfe
Wada	Wada	nsn	22	Wada
Hælsingum,	Hælsingas	ipn	22	Hælsings
Meaca	Meaca	nsn	23	Meaca
Myrgingum,	Myrgingas	dpn	23	the Myrgings
Mearchealf	Mearchealf	nsn	23	Mearchealf
Hundingum.	Hundingas	dpn	23	the Hundings
þeodric	þeodric	nsn	24	Theodric
weold	wealdan	psv	24	ruled
Froncum,	Froncan	dpn	24	the Franks
Þyle	Þyle	nsn	24	Thyle
Rondingum,	Rondingas	dpn	24	The Rondings
Breoca	Breoca	nsn	25	Breoca
Brondingum,	Brondingas	dpn	25	Brondings
Billing	Billing	nsn	25	Billing
Wernum.	Wern	dpn	25	the Werns
Oswine	Oswine	nsn	26	Oswin
weold	wealdan	psv	26	ruled
Eowum	Eowan	dpn	26	the Eows
ond	ond	conj	26	and
Ytum	Yte	dpn	26	the Jutes
Gefwulf,	Gefwulf	nsn	26	Gefwulf
Fin	Fin	nsn	27	Fin
Folcwalding	Folcwalding	nsn	27	son of Folcwalda
Fresna	Frēsan	asn	27	the Frisian
cynne.	cynn	isn	27	tribe
Sigehere	Sigehere	nsn	28	Sighere
lengest	lengan	adv	28	longest
Sæ-denum	Sæ-dene	dpn	28	the Sea-Danes
weold,	wealdan	psv	28	ruled
Hnæf	Hnæf	nsn	29	Hnæf
Hocingum,	Hocingas	dpn	29	the Hocings
Helm	Helm	nsn	29	Helm
Wulfingum,	Wulfingas	dpn	29	the Wulfings
Wald	Wald	nsn	30	Wald
Woingum,	Woingas	dpn	30	the Woings
Wod	Wod	nsn	30	Wod
Þyringum,	Þyringas	dpn	30	the Thuringians
Sæferð	Sæferð	nsn	31	Sæferð
Sycgum,	Sycgan	dpn	31	Sycgan
Sweom	Sweon	dpn	31	Swedes
Ongendþeow,	nsn	Ongendþeow	31	Ongenþeow
Sceafthere	Sceafthere	nsn	32	Sceafthere
Ymbrum,	Yumbran	dpn	32	the Ymbran
Sceafa	Sceafa	nsn	32	Sheaf
Longbeardum,	Longbeardan	dpn	32	the Langobards
Hun	Hun	nsn	33	Hunn
Hætwerum	Hætwere	dpn	33	the Hætwere
ond	ond	conj	33	and
Holen	Holen	nsn	33	Holen
Wrosnum.	Wrosnan	dpn	33	Wrosnan
Hringweald	Hringwald	nsn	34	Hringwald
wæs	wesan	psv	34	was
hāten	hāten	ppv	34	called
Herefarena	Herefaran	gpn	34	 of the Herefarens
cyning.	cyning	gsn	34	king
Offa	Offa	nsn	35	Offa
weold	wealdan	psv	35	ruled
Ongle,	Ongel	dpn	35	the Angles
Alewih	Alewih	nsn	35	Alewih
Denum;	Dene	dpn	35	the Danes
se	se	dem.pn	36	that
wæs	wesan	psv	36	was
þāra	sē	gpn	36	those
manna	monn	gpn	36	men
mōdgast	mōdig	adj	36	noblest
ealra,	eal	adj	36	of all
nō	nō	adv	37	not at all
hwæþre	hwæþre	adv	37	however
hē	hē	nsppn	37	he
ofer	ofer	prep	37	more than
Offan	Offa	dsn	37	Offa
eorlscype	eorlscipe	asn	37	manliness
fremede,	fremman	pret.sv	37	achieve
ac	ac	conj	38	but
Offa	Offa	asn	38	Offa
geslog	geslean	psv	38	won
ærest	ærest	adj	38	first
monna,	monn	gpn	38	men
cnihtwesende,	cnihtwesende	pp	39	being a youth
cynerica	cynerice	gpn	39	king-realm
mǣst.	mǣst	adj	39	greatest
Nænig	nænig	pn	40	Not any
efeneald	efeneald	adj	40	contemporaries
him	hē	gsn	40	of him
eorlscipe	eorlscipe	nsn	40	manliness
māran	māra	adj	40	more
on	on	prep	41	in
ōrette.	ōrettan	pret.sv	41	fighting
Āne	āne	isn	41	one
sweorde	sweord	isn	41	sword
merce	merc	asn	42	boundary
gemǣrde	gemǣran	pret.sv	42	defined
wið	wið	prep	42	against
Myrgingum	Myrgingas	dpn	42	the Myrgings
bī	bī	prep	43	by
Fifeldore;	Fīfeldore	dsn	43	the Eider estuary
heoldon	healdan	pret.pv	43	held
forð	forð	adv	43	thenceforth
sīþþan	sīþþan	adv	43	afterwards
Engle	Ongel	asn	44	the Angles
ond	ond	conj	44	and
Swæfe,	Swæfe	asn	44	the Suebi
swā	swā	conj	44	as
hit	hē	asn	44	he
Offa	Offa	asn	44	Offa
geslog	geslean	psv	44	won
Hroþwulf	Hroþwulf	nsn	45	Hroþwulf
ond	ond	conj	45	and
Hroðgar	Hroðgar	nsn	45	Hroðgar
heoldon	healdan	pret.pv	45	held
lengest	lengest	adv	45	longest
sibbe	sibb	gsn	46	kinship
ætsomne	ætsomne	adv	46	together
suhtorfædran,	suhtorfædran	npn	46	nephew and uncle
siþþan	siþþan	conj	47	after he
hȳ	hē	ppn	47	he
forwrǣcon	forwrecan	pret.pv	47	drove off
wicinga	wicingas	gpn	47	the Wicing
cynn	cynn	asn	47	tribe
ond	ond	conj	48	and
Ingeldes	Ingeld	gsn	48	Ingeld
ord	ord	asn	48	vanguard
forbīgdan,	forbīgan	pret.pv	48	humbled
forhēowan	forhēawan	pret.pv	49	cut to pieces
æt	æt	prep	49	at
Heorote	Heorot	dsn	49	Heorot
Heaðobeardna	Heaðobeardan	gpn	49	of the Heathobards
þrym.	þrym	asn	49	force
Swā	swā	conj	50	as
ic	ic	pn	50	I
geondfērde	geondfēran	pret.sv	50	traverse
fela,	fela	adj	50	many
fremdra	fremde	adj	50	foreign
londa	lond	gpn	50	lands
geond	geond	prep	51	throughout
ginne	ginn	adj	51	wide
grund.	grund	asn	51	region
Gōdes	gōd	nsn	51	good things
ond	ond	conj	51	and
yfles	yfel	gsn	51	evil things
þǣr	þǣr	adv	52	there
ic	ic	pn	52	I
cunnade	cunnian	pret.psv	52	experience
cnōsle	cnōsl	dsn	52	kindred
bidǣled,	bidǣlan	ppv	52	deprived of
frēomǣgum	frēomǣg	dpn	53	generous kinsmen
feor	feor	adj	53	far
folgade	folgian	pret.sv	53	served
wīde.	wīde	adv	53	widely
Forþon	forþon	conj	54	therefore
ic	ic	pn	54	I
mæg	magan	psv	54	will
singan	singan	v	54	sing
ond	ond	conj	54	and
secgan	secgan	v	54	speak
spell,	spell	asn	54	tale
mǣnan	mǣnan	v	55	make known
fore	fore	prep	55	before
mengo	mengo	dsn	55	company
