Lemma	Form	POS	Line	Gloss
Widsið	Widsið	nsn	1	Widsith
maðelian	maðolade,	pret.sv	1	spoke
wordhord	wordhord	as	1	wordhoard/vocabulary
onlūcan	onleac,	pret.sv	1	unlocked
se	se	dpn	2	that
þe	þe	rpn	2	that
monn	monna	gpn	2	men
mæst	mǣst	adj	2	most
mǣgþ	mǣgþa	gpn	2	people
ofer	ofer	prep	2	over
eorþe	eorþan,	asn	2	earth
folc	folca	gpn	3	tribe
geondferan	geondferde;	pret.sv	3	travel over
oft	oft	adv	3	often
hē	hē	nsppn	3	he
on	on	prep	3	in
flett	flette	dsn	3	great hall
geþicgan	geþah	pret.sv	3	received
mynelīc	mynelīcne	adj	4	handsome
māþþum	māþþum.	asn	4	treasure/gift
hē	Him	asn	4	him
from	from	prep	4	from
Myrging	Myrgingum	dpn	4	the Myrgings
æþelo	æþele	npn	5	noble
wæcnan	onwocon.	pret.pv	5	awoke
hē	He	nsppn	5	he
mid	mid	prep	5	with
Ealhhilde	Ealhhilde,	dsn	5	Ealhhilde
fæle	fælre	adj	6	gracious
freoþuwebbe	freoþuwebban,	dsn	6	peace-weaver
forma	forman	adj	6	first/foremost
sīþ	sīþe	isn	6	going/journey
Hreðcyning	Hreðcyninges	gsn	7	King of the Ostrogoths
ham	ham	asn	7	home
gesecan	gesohte	pret.sv	7	sought
eastan	eastan	adv	8	east
of	of	prep	8	from
Ongel	Ongle,	dpn	8	the Angles land
Eormanrīc	Eormanrices,	gsn	8	Ermanric
wraþ	wraþes	adj	9	hostile
wærloga	wærlogan.	dpn	9	oath-breaker
onginnan	Ongon	pret.sv	9	began
þa	þa	adv	9	then
worn	worn	asn	9	a great number (of words)
sprecan	sprecan:	pret.pv	9	speaking
fela	Fela	adj	10	many
ic	ic	pn	10	I
monn	monna	gpn	10	men
gefrignan	gefrægn	pret.sv	10	learned (by asking)
mægþ	mǣgþum	ipn	10	tribe
wealdan	wealdan!	pret.sv	10	rule
sculan	Sceal	pres.sv	11	Shall
þeod	þeodna	npn	11	men
gehwylc	gehwylc	adj	11	each
þeaw	þeawum	dpn	11	good custom
lifgan	lifgan,	v	11	live
eorl	eorl	gpn	12	leader
æfter	æfter	prep	12	after
oþer	oþrum	dpn	12	others
eþel	eðle	dsn	12	homeland
rædan	rædan,	v	12	govern
se	se	dem.pn	13	that
þe	þe	in	13	who
hē	his	gspn	13	his
þeodenstol	þeodenstol	n	13	king-stool
geþeon	geþeon	v	13	prosper
willan	wile.	pret.sv	13	will
sē	þāra	gpn	14	that
wesan	wæs	psv	14	was
Hwala	Hwala	nsn	14	Hwala
hwil	hwile	asn	14	a while
sel	selast,	adj	14	best
ond	ond	conj	15	and
Alexandreas	Alexandreas	nsn	15	Alexander
eal	ealra	adj	15	all
rice	ricost	adj	15	powerful
monn	monna	gpn	16	men
cynn	cynnes,	gsn	16	kin
ond	ond	conj	16	and
hē	hē	nsppn	16	he
mæst	mǣst	adj	16	most
geþeon	geþah	pret.sv	16	throve
sē	þāra	gpn	17	that
þe	þe	in	17	who
ic	ic	pn	17	I
ofer	ofer	prep	17	over
folde	foldan	asn	17	the earth
gefricgan	gefrægen	ppn	17	learned (by asking)
habban	hæbbe.	psv	17	have
Ætla	Ætla	apn	18	Atilla
wealdan	weold	psv	18	ruled
Hunas	Hunum,	ipn	18	the Huns
Eormanrīc	Eormanric	nsn	18	Ermanric
Gotan	Gotum,	ipn	18	the Goths
Becca	Becca	nsn	19	Becca
Baningas	Baningum,	dpn	19	the Baningas
Burgendan	Burgendum	dpn	19	the Burgundians
Gifica	Gifica.	nsn	19	Gifica
Casere	Casere	nsn	20	Caesar
wealdan	weold	psv	20	ruled
Creacas	Creacum	dpn	20	the Greeks
ond	ond	conj	20	and
Cælic	Cælic	nsn	20	Caelic
Finnas	Finnum,	dpn	20	the Finns
Hagena	Hagena	nsn	21	Hagen
Holmrygas	Holmrygum	dpn	21	the Rugians
ond	ond	conj	21	and
Heoden	Heoden	nsn	21	Heoden
Glomman	Glommum.	dpn	21	the Glomman
Witta	Witta	nsn	22	Witta
wealdan	weold	psv	22	ruled
Swæfe	Swæfum,	dpn	22	Swæfe
Wada	Wada	nsn	22	Wada
Hælsingas	Hælsingum,	ipn	22	Hælsings
Meaca	Meaca	nsn	23	Meaca
Myrgingas	Myrgingum,	dpn	23	the Myrgings
Mearchealf	Mearchealf	nsn	23	Mearchealf
Hundingas	Hundingum.	dpn	23	the Hundings
þeodric	þeodric	nsn	24	Theodric
wealdan	weold	psv	24	ruled
Froncan	Froncum,	dpn	24	the Franks
Þyle	Þyle	nsn	24	Thyle
Rondingas	Rondingum,	dpn	24	The Rondings
Breoca	Breoca	nsn	25	Breoca
Brondingas	Brondingum,	dpn	25	Brondings
Billing	Billing	nsn	25	Billing
Wern	Wernum.	dpn	25	the Werns
Oswine	Oswine	nsn	26	Oswin
wealdan	weold	psv	26	ruled
Eowan	Eowum	dpn	26	the Eows
ond	ond	conj	26	and
Yte	Ytum	dpn	26	the Jutes
Gefwulf	Gefwulf,	nsn	26	Gefwulf
Fin	Fin	nsn	27	Fin
Folcwalding	Folcwalding	nsn	27	son of Folcwalda
Frēsan	Fresna	asn	27	the Frisian
cynn	cynne.	isn	27	tribe
Sigehere	Sigehere	nsn	28	Sighere
lengan	lengest	adv	28	longest
Sæ-dene	Sæ-denum	dpn	28	the Sea-Danes
wealdan	weold,	psv	28	ruled
Hnæf	Hnæf	nsn	29	Hnæf
Hocingas	Hocingum,	dpn	29	the Hocings
Helm	Helm	nsn	29	Helm
Wulfingas	Wulfingum,	dpn	29	the Wulfings
Wald	Wald	nsn	30	Wald
Woingas	Woingum,	dpn	30	the Woings
Wod	Wod	nsn	30	Wod
Þyringas	Þyringum,	dpn	30	the Thuringians
Sæferð	Sæferð	nsn	31	Sæferð
Sycgan	Sycgum,	dpn	31	Sycgan
Sweon	Sweom	dpn	31	Swedes
nsn	Ongendþeow,	Ongendþeow	31	Ongenþeow
Sceafthere	Sceafthere	nsn	32	Sceafthere
Yumbran	Ymbrum,	dpn	32	the Ymbran
Sceafa	Sceafa	nsn	32	Sheaf
Longbeardan	Longbeardum,	dpn	32	the Langobards
Hun	Hun	nsn	33	Hunn
Hætwere	Hætwerum	dpn	33	the Hætwere
ond	ond	conj	33	and
Holen	Holen	nsn	33	Holen
Wrosnan	Wrosnum.	dpn	33	Wrosnan
Hringwald	Hringweald	nsn	34	Hringwald
wesan	wæs	psv	34	was
hāten	hāten	ppv	34	called
Herefaran	Herefarena	gpn	34	the Herefaren's
cyning	cyning.	gsn	34	king
Offa	Offa	nsn	35	Offa
wealdan	weold	psv	35	ruled
Ongel	Ongle,	dpn	35	the Angles
Alewih	Alewih	nsn	35	Alewih
Dene	Denum;	dpn	35	the Danes
se	se	dem.pn	36	that
wesan	wæs	psv	36	was
sē	þāra	gpn	36	those
monn	manna	gpn	36	men
mōdig	mōdgast	adj	36	noblest
eal	ealra,	adj	36	of all
nō	nō	adv	37	not at all
hwæþre	hwæþre	adv	37	however
hē	hē	nsppn	37	he
ofer	ofer	prep	37	more than
Offa	Offan	dsn	37	Offa
eorlscipe	eorlscype	asn	37	manliness
fremman	fremede,	pret.sv	37	achieve
ac	ac	conj	38	but
Offa	Offa	asn	38	Offa
geslean	geslog	psv	38	won
ærest	ærest	adj	38	first
monn	monna,	gpn	38	men
cnihtwesende	cnihtwesende,	pp	39	being a youth
cynerice	cynerica	gpn	39	king-realm
mæst	mǣst.	adj	39	greatest
nænig	Nænig	pn	40	Not any
efeneald	efeneald	adj	40	contemporaries
hē	him	gsn	40	of him
eorlscipe	eorlscipe	nsn	40	manliness
māra	māran	adj	40	more
on	on	prep	41	in
ōrettan	ōrette.	pret.sv	41	fighting
āne	Āne	isn	41	one
sweord	sweorde	isn	41	sword
merc	merce	asn	42	boundary
gemǣran	gemǣrde	pret.sv	42	defined
wið	wið	prep	42	against
Myrgingas	Myrgingum	dpn	42	the Myrgings
bī	bī	prep	43	by
Fīfeldore	Fifeldore;	dsn	43	the Eider estuary
healdan	heoldon	pret.pv	43	held
forð	forð	adv	43	thenceforth
sīþþan	sīþþan	adv	43	afterwards
Engle	Engle	asn	44	the Angles
ond	ond	conj	44	and
Swæfe	Swæfe,	asn	44	the Suebi
swā	swā	conj	44	as
hē	hit	asn	44	he
Offa	Offa	asn	44	Offa
geslean	geslog	psv	44	won
Hroþwulf	Hroþwulf	nsn	45	Hroþwulf
ond	ond	conj	45	and
Hroðgar	Hroðgar	nsn	45	Hroðgar
healdan	heoldon	pret.pv	45	held
lengest	lengest	adv	45	longest
sibb	sibbe	gsn	46	kinship
ætsomne	ætsomne	adv	46	together
suhtorfædran	suhtorfædran,	npn	46	nephew and uncle
siþþan	siþþan	conj	47	after he
hē	hȳ	ppn	47	he
forwrecan	forwrǣcon	pret.pv	47	drove off
wicingas	wicinga	gpn	47	the Wicing
cynn	cynn	asn	47	tribe
ond	ond	conj	48	and
Ingeld	Ingeldes	gsn	48	Ingeld
ord	ord	asn	48	vanguard
forbīgan	forbīgdan,	pret.pv	48	humbled
forhēawan	forhēowan	pret.pv	49	cut to pieces
æt	æt	prep	49	at
Heorot	Heorote	dsn	49	Heorot
Heaðobeardan	Heaðobeardna	gpn	49	Heathobards'
þrym	þrym.	asn	49	force
swā	Swā	conj	50	as
ic	ic	pn	50	I
geondfēran	geondfērde	pret.sv	50	traverse
fela	fela,	adj	50	many
fremde	fremdra	adj	50	foreign
lond	londa	gpn	50	lands
geond	geond	prep	51	throughout
ginn	ginne	adj	51	wide
grund	grund.	asn	51	region
gōd	Gōdes	nsn	51	good things
ond	ond	conj	51	and
yfel	yfles	gsn	51	evil things
þǣr	þǣr	adv	52	there
ic	ic	pn	52	I
cunnian	cunnade	pret.psv	52	experience
cnōsl	cnōsle	dsn	52	kindred
bidǽlan	bidǽled,	ppv	52	deprived of
frēomǣgum	frēomǣgum	dpn	53	generous kinsmen
feor	feor	adj	53	far
folgian	folgade	pret.sv	53	served
wīde	wīde.	adv	53	widely
forþon	Forþon	conj	54	therefore
ic	ic	pn	54	I
magan	mæg	psv	54	will
singan	singan	v	54	sing
ond	ond	conj	54	and
secgan	secgan	v	54	speak
spell	spell,	asn	54	tale
mǣnan	mǣnan	v	55	make known
fore	fore	prep	55	before
mengo	mengo	dsn	55	company
in	in	prep	55	in
meoduheall	meoduhealle	dsn	55	mead-hall
hū	hū	adv	56	how
me	me	dsppn	56	me
cynegōd	cynegōde	adj	56	well-born
cyst	cystum	ipn	56	a choice gift
dugan	dohten.	pret.subj.pv	56	would be generous
ic	ic	pn	57	I
wesan	wæs	psv	57	was
mid	mid	prep	57	with
Hunas	Hunum	dpn	57	The Huns
ond	ond	conj	57	and
mid	mid	prep	57	with
Hreðgotan	Hreðgotum,	dpn	57	Ostrogoths
mid	mid	prep	58	with
Sweon	Sweom	dpn	58	Swedes
ond	ond	conj	58	and
mid	mid	prep	58	with
Gēatas	Geatum	dpn	58	the Geats
ond	ond	conj	58	and
mid	mid	prep	58	with
Suþ-dene	Suþ-denum.	dpn	58	the south-Danes
mid	mid	prep	59	with
Wenlas	Wenlum	dpn	59	Wenlas
ic	ic	pn	59	I
wesan	wæs	psv	59	was
ond	ond	conj	59	and
mid	mid	prep	59	with
Wærne	Wærnum	dpn	59	the Varni
ond	ond	conj	59	and
