Lemma	Form	POS	Gloss
Widsið	Widsið	nsn	Widsith
maðelian	maðolade,	pret.sv	spoke
wordhord	wordhord	as	wordhoard/vocabulary
onlūcan	onleac,	pret.sv	unlocked
se	se	dpn	that
þe	þe	rpn	that
monn	monna	gpn	men
mæst	mǣst	adj	most
mǣgþ	mǣgþa	gpn	people
ofer	ofer	prep	over
eorþe	eorþan,	asn	earth
folc	folca	gpn	tribe
geondferan	geondferde;	pret.sv	travel over
oft	oft	adv	often
hē	hē	nsppn	he
on	on	prep	in
flett	flette	dsn	great hall
geþicgan	geþah	pret.sv	received
mynelīc	mynelīcne	adj	handsome
māþþum	māþþum.	asn	treasure/gift
hē	Him	asn	him
from	from	prep	from
Myrging	Myrgingum	dpn	the Myrgings
æþelo	æþele	npn	noble
wæcnan	onwocon.	pret.pv	awoke
hē	He	nsppn	he
mid	mid	prep	with
Ealhhilde	Ealhhilde,	dsn	Ealhhilde
fæle	fælre	adj	gracious
freoþuwebbe	freoþuwebban,	dsn	peace-weaver
forma	forman	adj	first/foremost
sīþ	sīþe	isn	going/journey
Hreðcyning	Hreðcyninges	gsn	King of the Ostrogoths
ham	ham	asn	home
gesecan	gesohte	pret.sv	sought
eastan	eastan	adv	east
of	of	prep	from
Ongel	Ongle,	dpn	the Angles land
Eormanrīc	Eormanrices,	gsn	Ermanric
wraþ	wraþes	adj	hostile
wærloga	wærlogan.	dpn	oath-breaker
onginnan	Ongon	pret.sv	began
þa	þa	adv	then
worn	worn	asn	a great number (of words)
sprecan	sprecan:	pret.pv	speaking
fela	Fela	adj	many
ic	ic	pn	I
monn	monna	gpn	men
gefrignan	gefrægn	pret.sv	learned (by asking)
mægþ	mǣgþum	ipn	tribe
wealdan	wealdan!	pret.sv	rule
sculan	Sceal	pres.sv	Shall
þeod	þeodna	npn	men
gehwylc	gehwylc	adj	each
þeaw	þeawum	dpn	good custom
lifgan	lifgan,	v	live
eorl	eorl	gpn	leader
æfter	æfter	prep	after
