Word	Lemma	Part of Speech	Gloss
Widsið	Widsið	nsn	Widsith
maðolade,	maðelian	pret.sv	spoke
wordhord	wordhord	as	wordhoard/store of words@@@
onleac,	onlūcan	pret.sv	unlocked
se	se	dpn	that
þe	þe	rpn	that
monna	monn	gpn	men
mǣst	mǣst	adj	most
mǣgþa	mǣgþ	gpn	people
ofer	ofer	prep	over
eorþan,	eorþe	asn	earth
folca	folc	gpn	tribe
geondferde;	geondferan	pret.sv	travel over @@@traversed
oft	oft	adv	often
hē	hē	nsppn	he
on	on	prep	in
flette	flett	dsn	great hall
geþah	geþicgan	pret.sv	received
mynelīcne	mynelīc	adj	handsome
māþþum.	māþþum	asn	treasure/gift
Him	hē	asn	@@@ to him
from	from	prep	from
Myrgingum	Myrgingas	dpn	the Myrgings
æþele	æþelo	npn	noble
onwocon.	wæcnan	pret.pv	awoke
Hē	hē	nsppn	he
mid	mid	prep	with
Ealhhilde,	Ealhhilde	dsn	Ealhhilde
fælre	fæle	adj	gracious
freoþuwebban,	freoþuwebbe	dsn	peace-weaver
forman	forma	adj	first/foremost
sīþe	sīþ	isn	going/journey
Hreðcyninges	Hreðcyning	gsn	King of the Goths
ham	ham	asn	home
gesohte	gesecan	pret.sv	sought
eastan	eastan	adv	east
of	of	prep	from
Ongle,	Ongel	dpn	the Angles land
Eormanrīces,	Eormanrīc	gsn	Ermanric
wraþes	wraþ	adj	hostile @@@cruel
wærlogan.	wærloga	dpn	oath-breaker
Ongon	onginnan	pret.sv	began
þa	þa	adv	then
worn	worn	asn	a great number (of words)
sprecan:	sprecan	pret.pv	speaking
Fela	fela	adj	many
ic	ic	pn	I
monna	monn	gpn	@@@of men
gefrægn	gefrignan	pret.sv	learned (by asking)
mǣgþum	mǣgþ	ipn	tribe
wealdan!	wealdan	pret.sv	ruled
Sceal	sculan	pres.sv	Shall
þeodna	þeod	npn	men
gehwylc	gehwylc	adj	each
þeawum	þeaw	dpn	good custom
lifgan,	lifgan	v	live
eorl	eorl	gpn	leader
æfter	æfter	prep	after
oþrum	oþer	dpn	others
eðle	eþel	dsn	homeland
rædan,	rædan	v	govern
se	se	dem.pn	that
