Word	Lemma	Part of Speech	Gloss
a	ā	adv	always
ac	ac	conj	but
æfnan	æfnan	v.inf	perform, accomplish
æfter	æfter	prep	after
Ægelmund	Ægelmund	n.m.acc.sg	Ægelmund (name)
ǣht	ǣht	n.f.acc.sg	possession
Ælfwine	Ælfwine	n.m.dat.sg	Alboin (name)
Ænenum	Ænenas	n.m.dat.pl	the Æni (tribe)
ærest	ǣrest	adv.superl	first
æt	æt	prep	at
Ætla	Ætla	n.m.nom.sg	Attila
Ætlan	Ætla	n.m.dat.sg	Attila
ætsomne	ætsomne	adv	together
æþele	æþele	adj.nom.pl	noble ones
āhofan	āhebban	v.pret.dual	raised up
āhte	āgan	v.pret.3sg	owned, possessed
ālæg	ālicgan	v.pret.3sg	failed, ceased
Alewih	Alewih	n.m.nom.sg	Alewih (name)
Alexandreas	Alexandreas	n.m.nom.sg	Alexander (the Great)
Amoþingum	Amoþingas	n.m.dat.pl	the Amoþings
Āne	ān	num.instr.sg	with one
anīhst	anīehst	adv.superl	last
ārǣran	ārǣran	v.inf	raise up, establish
Baningum	Baningas	n.m.dat.pl	the Banings
be	be	prep	about, concerning
Beadecan	Beadeca	n.m.acc.sg	Beadeca (name)
bēag	bēah	n.m.acc.sg	ring, treasure
bēag	bēag	n.m.acc.sg	ring, treasure
bēaga	bēag	n.m.gen.pl	of rings, of treasures
bearn	bearn	n.n.nom.sg	child, son
Becca	Becca	n.m.nom.sg	Becca (name)
Beccan	Becca	n.m.acc.sg	Becca (name)
beorhtra	beorht	adj.gen.pl	bright
bī	bī	prep	by
bī	bī	prep	by
bicwom	becuman	v.pret.1sg	came
bidǣled	bidǣlan	v.p.part	deprived of, separated from
Billing	Billing	n.m.nom.sg	Billing (name)
biþ	bēon	v.pres.3sg	is
Breoca	Breoca	n.m.nom.sg	Breoca (name)
Brondingum	Brondingas	n.m.dat.pl	the Brondings
bryttian	bryttian	v.inf	distribute, dispense
Burgendum	Burgende	n.m.dat.pl	the Burgundians
Burgendum	Burgendas	n.m.dat.pl	the Burgundians
burgwarena	burgware	n.m.gen.pl	of city-dwellers
Cælic	Cælic	n.m.nom.sg	Cælic (name)
Casere	casere	n.m.nom.sg	Caesar, emperor
Casere	casere	n.m.dat.sg	Caesar, emperor
cnihtwesende	cniht-wesende	adj	being a boy, while a youth
cnōsle	cnōsl	n.n.dat.sg	family, kin
Creacum	Crēacas	n.m.dat.pl	the Greeks
Creacum	Crēacas	n.m.dat.pl	the Greeks
cunnade	cunnian	v.pret.1sg	experienced, tried
cuþan	cunnan	v.pret.pl	knew
cwēn	cwēn	n.f.acc.sg	queen
cynegōde	cynegōd	adj.nom.pl	noble kings
